CookerStat, GenerateAssetRegistry=0.025943, Initialize=0.164479, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
SavePackageTransactionId432A094B074298526500CEB582035876_0, Filename=../../../../../../Keiran/Documents/Unreal Projects/Tank-Game/Tanks 4.11/Content/Battleground.umap, AutoPackageBackupDelegate=237.382416, FlushAsyncLoading=0.016309, FlushStreamingFunc=0.128694, BlockTillAllRequestsFinished=0.016928, ResetLoadersForSaveUnMarkAllObjects=1133.419189, TagPackageExports=10.008708, BeginCacheForCookedPlatformData=0.008658, SerializeImports=12.441028, GatherLocalizableTextData=78.389465, MarkNames=0.416089, SerializeSummary=0.586413, SerializeNames=0.419751, SerializeGatherableTextData=0.039630, BuildExportMap=0.770014, SortExportsNonSeekfree=5.422838, SortExportsSeekfreeConstructor=0.266612, SortExportsSeekfreeInner=26.566788, SortExportsSeekfree=0.012923, BuildDependencyMap=2.824519, SerializeImportMap=1.902685, SerializeExportMap=0.211596, SerializeDependencyMap=0.050019, SerializeStringAssetReferenceMap=0.016809, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.319459, SerializeExports=40.986816, SerializeBulkData=2521.671387, MoveFile=169.427261, UnaccountedTime=0.565592, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_0, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_4227E4C86073AB5F027132C5586D766E, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.444110, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_0, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_069EEE3CF549AE634323249A82D1ED9E, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.444442, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_0, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_BB48F8CF1BF4FB2D7E3A32579CFCB87E, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.526574, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_1, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D32B4D390D45D79228567481FC0D55DD, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.423778, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_1, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_73A3DE96FDC9F74022D1AC2C423C4810, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.345360, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_2, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_A667EBA3A74F6065561652B60342810C, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.334352, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_1, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_6C57E6FCAC5202E28ECC9D93B8C5C3C6, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.278283, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_2, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_4C4076D3A242F0841A26DB83A215A2AC, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.294253, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B081C7C1A1C7FD7FB47090F5F12DD4B0, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.274148, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_2, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_4D8CFE89C745B20F9F4843B536CFFA7C, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.265989, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_A16F5DCE79216E9A1C31D063AA48A614, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.266187, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_4, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_73FB1482EF4A02136094A0B65821E468, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.293605, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_503176CC59334D0E4009CD4BF95D8538, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.324313, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_4, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8A9DF8C48148726E884BF7BDD56F57AF, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.391349, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_5, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_21D9A07485FD61C6040C5B934CCB2AC8, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.315432, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_4, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_C17486E41B4BBA18188870AF7D888F89, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.300907, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_5, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B2E2FE77F9126FFC42F5606F3A3A61E5, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.315502, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_6, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_935DDC302A40DDEA4B3CC38E3707FF55, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.293810, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_5, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_F36A2570148E78ABCD50E1CD4DE124E8, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.290077, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_6, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7C9CFB49CC45A0928F69FFA384043D09, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.292718, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_7, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_FE346544BFF2D4B0C867754E79C178AE, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.283152, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_6, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_E49CCBA7EB426FF61DF9D8B9263E27A0, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.298727, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_7, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_13127875F46521BB231384949AA7AEC5, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.299420, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId954C01CC0F435778ED030C830FC3BF91_8, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_BD902131124FCA2680351ABFA2DDCB26, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.289526, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId9864A50655452D8E06C1868A4AC0CFD9_7, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_13954ADCD3F719043CD2486E071D0CC9, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.279400, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
DDCTransactionId4BD04342B4497AABC9B657A5CD584269_8, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_1454240ACA4AC3C2D148108482186F58, StartTime=2016.11.20-17.15.55, HierarchicalDDC=, DataSize=262246, Duration=0.287827, RunGuid=RunIDAF78EB31724362184166BAA30A1CD7C6
